//  posX    posY    platType
    700     200     0
    1184    200     0
    1500    200     1
    1742    195     1
    1806    195     1
    1870    195     1
    1934    180     3
    2180    220     1
    2244    210     3
    2570    220     0
    2700    220     4
    3054    220     0
    3060    220     4
    3538    220     0
    3340    230     3
    3620    220     4
    4022    220     0
    4330    200     1
    4582    180     1
    4824    160     1
    5066    140     1
    5519    220     1
    5593    220     3
    5971    220     0
    6240    240     5
